"","V1"
"V3_1",0.1047048234987
"V3_2",0.104808856000071
"V3_3",0.105000051627134
"V3_4",0.0989086686254656
"V3_5",0.0204016626629178
"V3_6",-0.0453920384152439
"V3_7",0.0870020396772411
"V3_8",0.0174507735555701
"V3_9",0.0386015101732619
"V3_10",0.00292929439313317
"V3_11",-0.0116768148650236
"V3_12",0.0381555711869048
"V3_13",0.030587377765416
"V3_14",0.0776978432315176
"V3_15",0.0418826229917456
"V3_16",0.0676243211493536
"V3_17",-0.0426451109432546
"V3_18",-0.0603593348352023
"V3_19",-0.0588979133384493
"V3_20",-0.0718802158242046
"V3_21",-0.0780505390145534
"V3_22",0.0683567181346563
"V3_23",0.079379697008607
"V3_24",0.0888067731927451
"V3_25",0.049341502168964
"V3_26",0.00725064413348545
"V3_27",-0.0376710891156632
"V3_28",-0.046035720206686
"V3_29",-0.0007779205862016
"V3_30",-0.0287414096076353
"V3_31",-0.0290452612476875
"V3_32",0.0435427329121284
"V3_33",0.0207057139773709
"V3_34",-0.0308312538739035
"V3_35",0.0103660785358278
"V3_36",-0.0151411571282225
"V3_37",-0.0205180295153733
"V3_38",0.00366362403362392
"V3_39",0.0836587486447164
"V3_40",0.0199608651250367
"V3_41",-0.00358540977031689
"V3_42",0.02713526570816
"V3_43",0.00453261849289302
"V3_44",0.0445534450439659
"V3_45",-0.0352948641670491
"V3_46",0.0617602890608082
"V3_47",-0.0229564355978109
"V3_48",-0.0120343038583298
"V3_49",-0.0195804607543177
"V3_50",-0.0310164025729132
"V3_51",-0.0286986250062571
"V3_52",-0.00844393573397577
"V3_53",-0.0110401304836531
"V3_54",0.0186385324084812
"V3_55",-0.00921358575577293
"V3_56",-0.00126798025595096
"V3_57",-0.0332433674938922
"V3_58",-0.0257052321048497
"V3_59",-0.00329369242795985
"V3_60",-0.0155041280544654
"V3_61",-0.0180386488121016
"V3_62",-0.00701522390598735
"V3_63",-0.0608513405994601
"V3_64",-0.061461380338013
"V3_65",-0.0515673086291641
"V3_66",-0.0231508012416525
"V3_67",-0.0801272181245806
"V3_68",0.0345563991439173
"V3_69",0.033568220773021
"V3_70",0.00590379390167706
"V3_71",0.0566832880982277
"V3_72",0.0478141712634468
"V3_73",-0.126871698166768
"V3_74",0.0280574769902631
"V3_75",0.052575732541069
"V3_76",-0.0195994665024996
"V3_77",0.0230387654921517
"V3_78",-0.0900554596495626
"V3_79",0.0412475121644862
"V3_80",0.0304892045253348
"V3_81",0.0511948050191176
"V3_82",-0.0444189299007325
"V3_83",-0.106245088719645
"V3_84",-0.0831992390623533
"V3_85",0.00530344211254916
"V3_86",-0.0273844757914928
"V3_87",0.0611646259616862
"V3_88",0.0841465210466874
"V3_89",-0.065000338614074
"V3_90",5.33898167488675e-05
"V3_91",0.0609721316840525
"V3_92",0.0443857141981043
"V3_93",0.0508243917469409
"V3_94",-0.01235794380946
"V3_95",0.0413822567026441
"V3_96",-0.0929618448715782
"V3_97",0.0422671860964506
"V3_98",-0.0296184126734208
"V3_99",0.000810885911299701
"V3_100",-0.0313546472641404
"V3_101",-0.104462138026168
"V3_102",0.0309183056692462
"V3_103",-0.00261111532460405
"V3_104",0.00380041494169043
"V3_105",-0.0160924780288405
"V3_106",0.0310115954719145
"V3_107",0.0321992839665554
"V3_108",0.0742950470025396
"V3_109",0.0162452459296061
"V3_110",0.0468786888444519
"V3_111",-0.0147571529143642
"V3_112",-0.0758249848141707
"V3_113",-0.0401368367971289
"V3_114",-0.0796424769068613
"V3_115",-0.140088119786427
"V3_116",-0.0852995890619959
"V3_117",0.0437880760471151
"V3_118",0.159053017618762
"V3_119",0.0499629551973616
"V3_120",-0.0150668720578336
"V3_121",0.00135316717082044
"V3_122",0.057145036633701
"V3_123",0.0710971740306271
"V3_124",0.0412023157101099
"V3_125",0.0391883524419062
"V3_126",0.0731536444563948
"V3_127",0.00922900221445508
"V3_128",0.0257764219284102
"V3_129",-0.00544719158225869
"V3_130",-0.0858763015549747
"V3_131",0.00720655650158471
"V3_132",0.0652620673991808
"V3_133",0.0582479108950035
"V3_134",0.051226821705222
"V3_135",-0.0916450867819812
"V3_136",-0.071038827041346
"V3_137",-0.066975959344161
"V3_138",0.0312010628818046
"V3_139",0.0345195717159702
"V3_140",0.0306277798539631
"V3_141",0.0373004522018913
"V3_142",-0.0217229390129774
"V3_143",0.00437908594312591
"V3_144",0.0100354001307712
"V3_145",-0.0782742751155866
"V3_146",-0.00708434699595519
"V3_147",0.0565497794128849
"V3_148",-0.0446752371272485
"V3_149",-0.0249546062676694
"V3_150",0.0178559449028033
"V3_151",-0.0178645081322148
"V3_152",-0.03558917219742
"V3_153",-0.0208656528025139
"V3_154",0.0487998373940478
"V3_155",-0.0073857592500755
"V3_156",-0.013366672006296
"V3_157",0.00877316478917153
"V3_158",0.0242410127530404
"V3_159",0.0470779216953469
"V3_160",-0.00866188429718934
"V3_161",-0.000737845814182142
"V3_162",0.062813549276495
"V3_163",-0.0403703039006488
"V3_164",-0.0533518923426892
"V3_165",-0.0682014838745341
"V3_166",-0.111251830075305
"V3_167",-0.0273544164547498
"V3_168",-0.0247460012497526
"V3_169",-0.00309137003813007
"V3_170",0.0312340966378987
"V3_171",0.0135043634698577
"V3_172",-0.00272122760938017
"V3_173",-0.0429959593098568
"V3_174",-0.0288893224587823
"V3_175",0.0433399364116753
"V3_176",0.0706041453443132
"V3_177",0.0703191212437036
"V3_178",-0.0135797486993854
"V3_179",0.0317029506078142
"V3_180",-0.00621542502468932
"V3_181",0.0190222582117926
"V3_182",0.0221023350690652
"V3_183",0.00939115902238613
"V3_184",0.0317438677570724
"V3_185",0.0543451793893154
"V3_186",0.105269034908086
"V3_187",-0.0526637191579677
"V3_188",-0.085572334302921
"V3_189",0.0398256584944858
"V3_190",-0.0109505833388286
"V3_191",0.0802432859386318
"V3_192",0.0480752896776999
"V3_193",-0.0234336491377653
"V3_194",0.0507725866463843
"V3_195",0.0488920427772948
"V3_196",-0.0104769390419581
"V3_197",-0.0435191979295923
"V3_198",-0.0200754038313277
"V3_199",0.0106602039216692
"V3_200",0.00983586276235512
"V3_201",-0.00132630290103185
"V3_202",-0.0376165860150417
"V3_203",-0.0556708121628543
"V3_204",-0.0119679419758086
"V3_205",-0.0102163974420822
"V3_206",-0.0295879727960058
"V3_207",-0.0284444142647753
"V3_208",-0.0116878078760492
"V3_209",-0.0260113945425098
"V3_210",0.0385570316046846
"V3_211",0.00673959673248266
"V3_212",-0.0214996513559903
"V3_213",-0.0208588156790201
"V3_214",-0.0243579474002263
"V3_215",-0.0669735504696726
"V3_216",0.0461948801143067
"V3_217",0.0342023705435903
"V3_218",-0.00396712765651912
"V3_219",0.00455073079219119
"V3_220",0.00369514752471804
"V3_221",0.0178500372842416
"V3_222",0.00883666517867745
"V3_223",0.0221852697065313
"V3_224",0.0149467335947876
"V3_225",-0.0307153765388378
"V3_226",0.0199054398885161
"V3_227",0.0221234084956191
"V3_228",0.0112810731071282
"V3_229",0.0115945619080099
"V3_230",-0.00522659118594384
"V3_231",0.0367597491079159
"V3_232",0.0187392692893151
"V3_233",0.0772037514543246
"V3_234",0.0579244026945162
"V3_235",0.025172049306118
"V3_236",-0.05098892583612
"V3_237",0.0160803650227008
"V3_238",-0.0295326913751561
"V3_239",0.100091645241549
"V3_240",-0.0449224856480963
"V3_241",0.0456406411630112
"V3_242",0.049235507818822
"V3_243",0.0737638567971855
"V3_244",-0.012907705558868
"V3_245",0.0494076480633448
"V3_246",0.0571803991973445
"V3_247",0.00305551891543852
"V3_248",-0.0115612711431244
"V3_249",-0.032899342907781
"V3_250",0.00728643195728443
"V3_251",-0.00649235333364194
"V3_252",-0.0576568014338316
"V3_253",-0.0495269439480636
"V3_254",0.0130432603712128
"V3_255",-0.0638479899402549
"V3_256",-0.0451824177596032
"V3_257",0.0855069518763031
"V3_258",0.0846928738634722
"V3_259",-0.0362682880015659
"V3_260",-0.00673023016181363
"V3_261",0.0025280580421006
"V3_262",-0.0212102631003837
"V3_263",-0.0339248558418122
"V3_264",0.00197255648261547
"V3_265",-0.0293332820535386
"V3_266",0.0371897107661245
"V3_267",-0.0782084401303933
"V3_268",-0.0332750039318453
"V3_269",0.0376641807953564
"V3_270",-0.00271452303859518
"V3_271",0.0584139361780684
"V3_272",-0.00289980235770404
"V3_273",-0.0083743476001019
"V3_274",-0.0201751929861874
"V3_275",-0.01092112420073
"V3_276",0.0955490612716679
"V3_277",0.0281340780138233
"V3_278",-0.00628214685007552
"V3_279",0.0107564695573156
"V3_280",0.0266428060410225
"V3_281",0.0406660954189275
"V3_282",-0.0850654870011822
"V3_283",-0.0459768846171978
"V3_284",0.0544187161969598
"V3_285",0.0182108284604937
"V3_286",0.034746894231753
"V3_287",0.0649977217700947
"V3_288",-0.0152088649908466
"V3_289",0.0171063683485055
"V3_290",0.0752516085051025
"V3_291",-0.00482697737105267
"V3_292",-0.0364125382132408
"V3_293",0.0527176538914842
"V3_294",-0.0185774708251981
"V3_295",-0.0399748968325892
"V3_296",-0.0217179118065955
"V3_297",-0.010231957151356
"V3_298",0.0671831065204922
"V3_299",0.0599020552072384
"V3_300",0.0349380278816455
"V3_301",0.0319531427135429
"V3_302",-0.0698819179929231
"V3_303",0.0290897360171198
"V3_304",-0.022549856133331
"V3_305",0.023202193059966
"V3_306",0.000435550676185659
"V3_307",0.064911180589824
"V3_308",0.0523655851239815
"V3_309",-0.0220703305369862
"V3_310",0.0358829234889504
"V3_311",0.041567730650282
"V3_312",0.00429473051211665
"V3_313",-0.00247015765570358
"V3_314",0.0159711317289049
"V3_315",0.0195255552167211
"V3_316",-0.114073707674035
"V3_317",-0.0130960114616778
"V3_318",-0.0643387818049749
"V3_319",0.0522579889871447
"V3_320",0.0215598400741299
"V3_321",0.0335740859382997
"V3_322",0.0187693147305592
"V3_323",0.0295233988049639
"V3_324",0.0637580534229427
"V3_325",0.011106768970577
"V3_326",0.0275704826043129
"V3_327",0.0697863314166665
"V3_328",0.0280571948106257
"V3_329",0.0371187250694054
"V3_330",0.0443517361278771
"V3_331",0.068899052388511
"V3_332",0.0143123355575661
"V3_333",-0.0687167104695765
"V3_334",-0.0679452449633815
"V3_335",-0.0855604570556709
"V3_336",-0.0761598330782174
"V3_337",-0.0201696488620178
"V3_338",-0.0209720166461734
"V3_339",-0.132395519564656
"V3_340",0.0331341406282265
"V3_341",-0.0235513216148636
"V3_342",-0.0158428616882647
"V3_343",-0.0193509681181715
"V3_344",-0.0640963577736555
"V3_345",-0.0548717928817862
"V3_346",-0.00424259667145534
"V3_347",-0.00655792555657767
"V3_348",-0.0083503357698165
"V3_349",-0.0910389948373062
"V3_350",-0.0193627246659655
"V3_351",-0.0662400203273922
"V3_352",0.0501350451988826
"V3_353",0.021229914923576
"V3_354",0.0343092933685467
"V3_355",0.0217351750972633
"V3_356",-0.0540021054284609
"V3_357",-0.0753646819971868
"V3_358",-0.0136341267046693
"V3_359",-0.0123590795371913
"V3_360",0.0123160398020674
"V3_361",-0.0304700994516511
"V3_362",-0.0127605501351791
"V3_363",0.0177185911815372
"V3_364",-0.000309766243790508
"V3_365",-0.0427734334732234
"V3_366",0.0244345649113316
"V3_367",-0.0734214371295744
"V3_368",-0.135145310342321
"V3_369",-0.0651753808265571
"V3_370",-0.0242434232023835
"V3_371",0.0113061528746585
"V3_372",-0.0261378600748196
"V3_373",-0.0868190513876179
"V3_374",0.00826545332005592
"V3_375",0.0003075706798413
"V3_376",-0.101833346636675
"V3_377",0.0402987959490833
"V3_378",-0.0149434817322567
"V3_379",0.00814764271631202
"V3_380",0.0153830048723259
"V3_381",-0.0353188403018675
"V3_382",0.0481517943399956
"V3_383",-0.0113499986011932
"V3_384",0.0622110182003638
"V3_385",-0.00975075991690763
"V3_386",0.00803432042537117
"V3_387",0.0438168295423089
"V3_388",-0.022910721829238
"V3_389",0.00701124615515447
"V3_390",0.0562656146265344
"V3_391",-0.0229503927439344
"V3_392",-0.00591458509571527
"V3_393",0.00484690365062911
"V3_394",0.0524289627742271
"V3_395",0.0598891436540647
"V3_396",0.0444844758387738
"V3_397",0.021468341497248
"V3_398",0.0210810434524803
"V3_399",-0.0414154220099509
"V3_400",0.0907277504821725
"V3_401",0.00891157058510776
"V3_402",-0.02910195442797
"V3_403",0.0366388630395659
"V3_404",-0.00874156714676942
"V3_405",0.0312617850567825
"V3_406",-0.0255403782159356
"V3_407",-0.0125923318483211
"V3_408",0.0427063994125978
"V3_409",0.0172435923080316
"V3_410",0.0642761568668319
"V3_411",0.0304408258241398
"V3_412",-0.0568991256709397
"V3_413",0.00470952415636952
"V3_414",0.040850688282551
"V3_415",-0.0789259249407341
"V3_416",-0.0572936060726414
"V3_417",0.0640655757216228
"V3_418",0.0440138485398452
"V3_419",-0.0301645838927633
"V3_420",-0.0927730606307767
"V3_421",-0.0924861078839561
"V3_422",-0.0264553227034714
"V3_423",-0.0458321468313303
"V3_424",0.0603126708860533
"V3_425",-0.043445601691199
"V3_426",-0.134003764489403
"V3_427",0.0140263187472283
"V3_428",-0.0491060245552899
"V3_429",-0.0319312251803137
"V3_430",-0.023331124224829
"V3_431",-0.101793193408168
"V3_432",0.00371493057861061
"V3_433",0.0118573279283257
"V3_434",0.0355136136576418
"V3_435",-0.018559726454476
"V3_436",0.0246086292462773
"V3_437",0.0385745652137245
